,0
yards_after_catch_missing,0.127805294542487
drive_play_index,0.053270015318013356
yards_after_catch,0.04689412010930133
route_GO,0.025527045576480858
time_to_throw,0.01677214908490525
route_SCREEN,0.014512629726907355
route_POST,0.013212293302433582
route_FLAT,0.012994177049469606
first_down_pass_so_far,0.012008066958445843
defense_coverage_type_COVER_0,0.010125716449906985
pass_rate_so_far,0.008823303236384337
route_CORNER,0.008619720093708531
first_down_rush_so_far,0.00832856161663028
game_seconds_remaining,0.007465307697853912
defenders_in_box,0.006842741779598796
first_down_penalty_so_far,0.006707376162198221
defense_man_zone_type_MAN_COVERAGE,0.006168730277060644
defense_coverage_type_COVER_4,0.0048919871166137425
offense_drive_number,0.004611961788100736
route_WHEEL,0.004103568358345435
tod_unix,0.0038255193200783756
route_QUICK OUT,0.003745469186453768
touchdown_so_far,0.0030827582432247547
route_SWING,0.0030653360236376722
route_SLANT,0.003027385714806024
route_IN/DIG,0.002996639688141843
defense_coverage_type_COVER_1,0.0024963646674829787
route_IN,0.002364208363423216
return_yards_so_far,0.0021738987225429387
route_DEEP OUT,0.002158922752867037
complete_pass_so_far,0.0021329154962457667
rush_attempt_so_far,0.0020374065888368272
defense_coverage_type_COVER_2,0.0020098728924269095
penalty_yards_so_far,0.0019326628225687526
down,0.0018740035107912435
completion_rate_so_far,0.0018168605743564253
sack_so_far,0.001797716785479998
assist_tackle_so_far,0.0017600113636299908
tod_sec_midnight,0.001673102962072213
score_differential,0.0016448623069700132
field_goal_attempt_so_far,0.001505287176275775
pass_location_middle,0.0014444903414097877
kickoff_attempt_so_far,0.0013627568840867664
punt_inside_twenty_so_far,0.0013156327679010908
was_pressure,0.0013037847024442808
third_down_failed_so_far,0.0012782707010164107
tod_minute,0.0012755824979789417
number_of_pass_rushers,0.0011881588912248636
pass_attempt_so_far,0.001174197571042319
extra_point_attempt_so_far,0.0011598623291420966
solo_tackle_so_far,0.0011593694223325035
third_down_converted_so_far,0.001128116601997713
incomplete_pass_so_far,0.0009729400779331604
week,0.0009638079568964917
temp,0.0009321381415842721
tod_cos_time,0.0008653014789079403
tod_sin_time,0.0008617153105753251
fumble_so_far,0.0008581688530776767
defense_coverage_type_COVER_3,0.0008507551575892352
interception_so_far,0.0007705034220143854
fumble_forced_so_far,0.0006970236414730397
punt_attempt_so_far,0.0006664494228440003
route_HITCH/CURL,0.000643320559080006
route_SHALLOW CROSS/DRAG,0.0005973074811627979
route_ANGLE,0.0005945032677461449
offense_formation_SHOTGUN,0.0005712165983763662
defteam_timeouts_remaining,0.000506952378646018
qb_hit_so_far,0.0005038342958284499
touchback_so_far,0.000473855661613018
is_clear,0.00046690958744121167
defense_coverage_type_COVER_6,0.0004297996293540356
roof_closed,0.00042235156219246777
punt_out_of_bounds_so_far,0.00039906335582702264
defense_coverage_type_2_MAN,0.0003988383154625752
offense_formation_UNDER CENTER,0.00038810641400590507
wind,0.00038651002801197854
defense_coverage_type_COMBO,0.0003768394521376484
two_point_attempt_so_far,0.00034957975185331803
punt_downed_so_far,0.00033981484489798867
route_CROSS,0.00033150278723226
tackled_for_loss_so_far,0.00033078392837723356
offense_formation_SINGLEBACK,0.00032450344118053413
pass_touchdown_so_far,0.0003190535332609701
penalty_so_far,0.0003123545879103134
punt_fair_catch_so_far,0.0003012234539290725
posteam_timeouts_remaining,0.0002851578919545483
surface_grass,0.00025689523476451614
is_precip,0.00022986330696193823
tod_month,0.00022972011498477842
posteam_home,0.0002266491182053927
pass_location_right,0.00022420707333905624
rush_touchdown_so_far,0.00022389684528435373
under_two_minute_warning,0.00021055261448790064
route_OUT,0.0001622235250268453
fourth_down_converted_so_far,0.00016075202631176742
surface_fieldturf,0.00015986685144947615
pass_location_left,0.00015111007212511877
route_TEXAS/ANGLE,0.0001426017022931852
tod_weekday,0.00014207572064380385
roof_dome,0.00011562801456691707
fumble_not_forced_so_far,0.00010299845649034318
fumble_out_of_bounds_so_far,0.00010218517464522244
offense_formation_EMPTY,0.00010175708196573049
fourth_down_failed_so_far,0.0001003719212800166
surface_sportturf,9.968712265065333e-05
season,9.848238056722348e-05
season_postseason,9.466328062826761e-05
roof_outdoors,8.718770369289148e-05
surface_astroturf,7.89433296885722e-05
fumble_lost_so_far,7.752237797509046e-05
tod_hour,6.628523420529396e-05
surface_a_turf,6.243204429826514e-05
route_HITCH,5.954152589905008e-05
surface_matrixturf,3.476464706218533e-05
lateral_reception_so_far,3.357802385017893e-05
offense_formation_JUMBO,2.0148225922823002e-05
defense_coverage_type_BLOWN,1.6295472540589858e-05
roof_open,1.587024299643744e-05
offense_formation_PISTOL,1.201186155774722e-05
punt_blocked_so_far,1.1785406055915298e-05
is_windy,8.608123757459919e-06
game_half_Half2,6.015458383502479e-06
offense_formation_WILDCAT,0.0
is_batted_pass,0.0
was_pressure_missing,0.0
time_to_throw_missing,0.0
pass_rate_so_far_missing,0.0
completion_rate_so_far_missing,0.0
qtr,0.0
defense_coverage_type_PREVENT,0.0
defense_coverage_type_COVER_9,0.0
is_throwaway_or_spike,0.0
punt_in_endzone_so_far,0.0
offense_formation_I_FORM,0.0
return_touchdown_so_far,0.0
lateral_rush_so_far,0.0
safety_so_far,0.0
tod_is_weekend,0.0
tod_is_night,0.0
game_half_Half1,0.0
game_half_Overtime,0.0
number_of_pass_rushers_missing,0.0
